Kategorija: Visos kategorijos

Šalis,"""knowledge management"": (2016-12-22–2021-12-22)","""knowledge management system"": (2016-12-22–2021-12-22)","""knowledge management software"": (2016-12-22–2021-12-22)"
Botsvana,100 %,,
Etiopija,100 %,,
Zimbabvė,100 %,,
Namibija,100 %,,
Siera Leonė,,,
Kenija,90 %,10 %,
Zambija,100 %,,
Mauricijus,100 %,,
Pietų Afrika,95 %,5 %,
Uganda,100 %,,
Šv. Elenos Sala,95 %,,5 %
Nepalas,100 %,,
Šri Lanka,85 %,15 %,
Tanzanija,100 %,,
Gana,100 %,,
Singapūras,100 %,,
Malaizija,90 %,10 %,
Nigerija,100 %,,
Mianmaras (Birma),100 %,,
Laosas,,,
Filipinai,91 %,9 %,
Omanas,100 %,,
Jordanija,100 %,,
Pakistanas,91 %,9 %,
Honkongas,100 %,,
Jungtiniai Arabų Emyratai,100 %,,
Indija,90 %,9 %,1 %
Indonezija,89 %,11 %,
Australija,84 %,16 %,
Tailandas,92 %,8 %,
Kinija,,,
Bangladešas,100 %,,
Marokas,100 %,,
Jungtinė Karalystė,91 %,7 %,2 %
Saudo Arabija,100 %,,
Kambodža,,,
Vietnamas,83 %,11 %,6 %
Naujoji Zelandija,96 %,4 %,
Libanas,,,
Airija,100 %,,
Šveicarija,100 %,,
Suomija,100 %,,
Iranas,100 %,,
Kanada,92 %,8 %,
Jungtinės Valstijos,87 %,10 %,3 %
Egiptas,100 %,,
Danija,100 %,,
Nyderlandai,100 %,,
Alžyras,100 %,,
Švedija,100 %,,
Pietų Korėja,100 %,,
Belgija,100 %,,
Čekija,100 %,,
Portugalija,100 %,,
Izraelis,100 %,,
Austrija,100 %,,
Prancūzija,100 %,,
Taivanas,100 %,,
Vokietija,96 %,,4 %
Irakas,,,
Kazachstanas,100 %,,
Kolumbija,100 %,,
Italija,100 %,,
Rumunija,100 %,,
Peru,100 %,,
Graikija,100 %,,
Ispanija,100 %,,
Lenkija,100 %,,
Meksika,100 %,,
Rusija,100 %,,
Turkija,100 %,,
Brazilija,96 %,,4 %
Ukraina,100 %,,
Argentina,100 %,,
Japonija,100 %,,
Angilija,,,
Lesotas,,,
Malavis,,,
Svazilandas,,,
Saliamono Salos,,,
Vanuatu,,,
Gambija,,,
Ruanda,,,
Butanas,,,
Sent Kitsas ir Nevis,,,
Brunėjus,,,
Rytų Timoras,,,
Pietų Sudanas,,,
Maldyvai,,,
Liberija,,,
Fidžis,,,
Jungtinių Valstijų Mergelių Salos,,,
Kiurasao,,,
Sudanas,,,
Grenada,,,
Čadas,,,
Kipras,,,
Malta,,,
Jamaika,,,
Burundis,,,
Barbadosas,,,
Antigva ir Barbuda,,,
Kamerūnas,,,
Bahreinas,,,
Bermuda,,,
Papua Naujoji Gvinėja,,,
Sent Lusija,,,
Surinamas,,,
Kaimanų Salos,,,
Aruba,,,
Prancūzijos Polinezija,,,
Tunisas,,,
Afganistanas,,,
Trinidadas ir Tobagas,,,
Kongas-Brazavilis,,,
Dramblio Kaulo Krantas,,,
Somalis,,,
Kongas-Kinšasa,,,
Mongolija,,,
Liuksemburgas,,,
Bahamos,,,
Madagaskaras,,,
Haitis,,,
Juodkalnija,,,
Džersis,,,
Guamas,,,
Latvija,,,
Kataras,,,
Togas,,,
Kosovas,,,
Palestina,,,
Jemenas,,,
Armėnija,,,
Gvinėja,,,
Kuveitas,,,
Senegalas,,,
Estija,,,
Mozambikas,,,
Šiaurės Makedonija,,,
Vengrija,,,
Albanija,,,
Malis,,,
Azerbaidžanas,,,
Burkina Fasas,,,
Makao,,,
Moldova,,,
Lietuva,,,
Slovakija,,,
Slovėnija,,,
Islandija,,,
Baltarusija,,,
Gruzija,,,
Sirija,,,
Norvegija,,,
Bosnija ir Hercegovina,,,
Hondūras,,,
Kroatija,,,
Salvadoras,,,
Serbija,,,
Reunjonas,,,
Angola,,,
Čilė,,,
Kosta Rika,,,
Bulgarija,,,
Dominikos Respublika,,,
Urugvajus,,,
Ekvadoras,,,
Puerto Rikas,,,
Libija,,,
Panama,,,
Venesuela,,,
Kirgizija,,,
Uzbekistanas,,,
Gvatemala,,,
Alandų Salos,,,
Andora,,,
Amerikos Samoa,,,
Antarktida,,,
Prancūzijos Pietų sritys,,,
Beninas,,,
Karibų Nyderlandai,,,
Sen Bartelemi,,,
Belizas,,,
Bolivija,,,
Buvė Sala,,,
Centrinės Afrikos Respublika,,,
Kokosų (Kilingo) Salos,,,
Kuko Salos,,,
Komorai,,,
Žaliasis Kyšulys,,,
Kuba,,,
Kalėdų Sala,,,
Džibutis,,,
Dominika,,,
Eritrėja,,,
Vakarų Sachara,,,
Folklando (Malvinų) Salos,,,
Farerų Salos,,,
Mikronezija,,,
Gabonas,,,
Gernsis,,,
Gibraltaras,,,
Gvadelupa,,,
Bisau Gvinėja,,,
Pusiaujo Gvinėja,,,
Grenlandija,,,
Prancūzijos Gviana,,,
Gajana,,,
Herdo ir Makdonaldo Salos,,,
Meno Sala,,,
Indijos Vandenyno Britų Sritis,,,
Kiribatis,,,
Lichtenšteinas,,,
Sen Martenas,,,
Monakas,,,
Maršalo Salos,,,
Marianos Šiaurinės Salos,,,
Mauritanija,,,
Montseratas,,,
Martinika,,,
Majotas,,,
Naujoji Kaledonija,,,
