Kategorija: Visos kategorijos

Šalis,"""knowledge management"": (2016-12-22–2021-12-22)"
Botsvana,100
Etiopija,73
Zimbabvė,60
Namibija,44
Siera Leonė,
Kenija,35
Zambija,24
Mauricijus,23
Pietų Afrika,22
Uganda,20
Šv. Elenos Sala,18
Nepalas,18
Šri Lanka,15
Tanzanija,14
Gana,13
Singapūras,13
Malaizija,13
Nigerija,12
Mianmaras (Birma),12
Laosas,
Filipinai,10
Omanas,10
Jordanija,9
Pakistanas,9
Honkongas,8
Jungtiniai Arabų Emyratai,8
Indija,7
Indonezija,6
Australija,6
Tailandas,6
Kinija,
Bangladešas,6
Marokas,6
Jungtinė Karalystė,4
Saudo Arabija,4
Kambodža,
Vietnamas,4
Naujoji Zelandija,4
Libanas,
Airija,4
Šveicarija,4
Suomija,4
Iranas,4
Kanada,3
Jungtinės Valstijos,3
Egiptas,3
Danija,3
Nyderlandai,3
Alžyras,3
Švedija,3
Pietų Korėja,3
Belgija,2
Čekija,2
Portugalija,2
Izraelis,2
Austrija,2
Prancūzija,2
Taivanas,2
Vokietija,2
Irakas,
Kazachstanas,2
Kolumbija,2
Italija,2
Rumunija,1
Peru,1
Graikija,1
Ispanija,1
Lenkija,1
Meksika,1
Rusija,1
Turkija,1
Brazilija,1
Ukraina,< 1
Argentina,< 1
Japonija,< 1
Angilija,
Lesotas,
Malavis,
Svazilandas,
Saliamono Salos,
Vanuatu,
Gambija,
Ruanda,
Butanas,
Sent Kitsas ir Nevis,
Brunėjus,
Rytų Timoras,
Pietų Sudanas,
Maldyvai,
Liberija,
Fidžis,
Jungtinių Valstijų Mergelių Salos,
Kiurasao,
Sudanas,
Grenada,
Čadas,
Kipras,
Malta,
Jamaika,
Burundis,
Barbadosas,
Antigva ir Barbuda,
Kamerūnas,
Bahreinas,
Bermuda,
Papua Naujoji Gvinėja,
Sent Lusija,
Surinamas,
Kaimanų Salos,
Aruba,
Prancūzijos Polinezija,
Tunisas,
Afganistanas,
Trinidadas ir Tobagas,
Kongas-Brazavilis,
Dramblio Kaulo Krantas,
Somalis,
Kongas-Kinšasa,
Mongolija,
Liuksemburgas,
Bahamos,
Madagaskaras,
Haitis,
Juodkalnija,
Džersis,
Guamas,
Latvija,
Kataras,
Togas,
Kosovas,
Palestina,
Jemenas,
Armėnija,
Gvinėja,
Kuveitas,
Senegalas,
Estija,
Mozambikas,
Šiaurės Makedonija,
Vengrija,
Albanija,
Malis,
Azerbaidžanas,
Burkina Fasas,
Makao,
Moldova,
Lietuva,
Slovakija,
Slovėnija,
Islandija,
Baltarusija,
Gruzija,
Sirija,
Norvegija,
Bosnija ir Hercegovina,
Hondūras,
Kroatija,
Salvadoras,
Serbija,
Reunjonas,
Angola,
Čilė,
Kosta Rika,
Bulgarija,
Dominikos Respublika,
Urugvajus,
Ekvadoras,
Puerto Rikas,
Libija,
Panama,
Venesuela,
Kirgizija,
Uzbekistanas,
Gvatemala,
Alandų Salos,
Andora,
Amerikos Samoa,
Antarktida,
Prancūzijos Pietų sritys,
Beninas,
Karibų Nyderlandai,
Sen Bartelemi,
Belizas,
Bolivija,
Buvė Sala,
Centrinės Afrikos Respublika,
Kokosų (Kilingo) Salos,
Kuko Salos,
Komorai,
Žaliasis Kyšulys,
Kuba,
Kalėdų Sala,
Džibutis,
Dominika,
Eritrėja,
Vakarų Sachara,
Folklando (Malvinų) Salos,
Farerų Salos,
Mikronezija,
Gabonas,
Gernsis,
Gibraltaras,
Gvadelupa,
Bisau Gvinėja,
Pusiaujo Gvinėja,
Grenlandija,
Prancūzijos Gviana,
Gajana,
Herdo ir Makdonaldo Salos,
Meno Sala,
Indijos Vandenyno Britų Sritis,
Kiribatis,
Lichtenšteinas,
Sen Martenas,
Monakas,
Maršalo Salos,
Marianos Šiaurinės Salos,
Mauritanija,
Montseratas,
Martinika,
Majotas,
Naujoji Kaledonija,
Nigeris,
Norfolko sala,
Nikaragva,
Niujė,
Nauru,
Pitkerno salos,
Palau,
Šiaurės Korėja,
Paragvajus,
Pietų Džordžija ir Pietų Sandvičo salos,
Svalbardas ir Janas Majenas,
San Marinas,
Sen Pjeras ir Mikelonas,
San Tomė ir Prinsipė,
Sint Martenas,
Seišeliai,
Terkso ir Kaikoso Salos,
Tadžikija,
Tokelau,
Turkmėnistanas,
Tonga,
Tuvalu,
Jungtinių Valstijų Mažosios Tolimosios Salos,
Vatikano Miesto Valstybė,
Šventasis Vincentas ir Grenadinai,
Didžiosios Britanijos Mergelių Salos,
Volisas ir Futūna,
Samoa,
