Kategorija: Visos kategorijos

Šalis,"""knowledge management"": (2007-01-01–2021-12-22)"
Botsvana,100
Etiopija,57
Zimbabvė,42
Kenija,39
Mauricijus,37
Namibija,
Siera Leonė,
Zambija,25
Pietų Afrika,24
Uganda,24
Gana,19
Nepalas,18
Šri Lanka,18
Malaizija,16
Singapūras,15
Tanzanija,14
Omanas,14
Honkongas,13
Nigerija,11
Laosas,
Šv. Elenos Sala,
Pakistanas,9
Mianmaras (Birma),
Jungtiniai Arabų Emyratai,9
Indija,8
Filipinai,8
Australija,8
Jordanija,8
Tailandas,7
Libanas,7
Iranas,7
Indonezija,7
Bangladešas,6
Airija,6
Kambodža,
Naujoji Zelandija,6
Marokas,5
Jungtinė Karalystė,5
Suomija,5
Šveicarija,5
Kinija,4
Danija,4
Švedija,4
Jungtinės Valstijos,3
Austrija,3
Saudo Arabija,3
Kanada,3
Pietų Korėja,3
Nyderlandai,3
Portugalija,3
Belgija,3
Egiptas,3
Alžyras,3
Čekija,2
Prancūzija,2
Taivanas,2
Vokietija,2
Izraelis,2
Vietnamas,2
Graikija,2
Italija,2
Rumunija,2
Kolumbija,2
Peru,1
Irakas,
Ispanija,1
Meksika,1
Lenkija,1
Kazachstanas,
Brazilija,1
Rusija,1
Argentina,1
Ukraina,1
Turkija,1
Japonija,< 1
Lesotas,
Angilija,
Svazilandas,
Malavis,
Ruanda,
Vanuatu,
Maldyvai,
Brunėjus,
Dominika,
Gambija,
Fidžis,
Antigva ir Barbuda,
Barbadosas,
Samoa,
Trinidadas ir Tobagas,
Sent Lusija,
Bahreinas,
Mongolija,
Sudanas,
Liberija,
Bermuda,
Lichtenšteinas,
Makao,
Rytų Timoras,
Somalis,
Sent Kitsas ir Nevis,
Seišeliai,
Afganistanas,
Jamaika,
Pietų Sudanas,
Naujoji Kaledonija,
Malta,
Liuksemburgas,
Senegalas,
Butanas,
Kuba,
Papua Naujoji Gvinėja,
Jungtinių Valstijų Mergelių Salos,
Tunisas,
Kamerūnas,
Grenada,
Gibraltaras,
Kipras,
Šventasis Vincentas ir Grenadinai,
Dramblio Kaulo Krantas,
Madagaskaras,
Burundis,
Togas,
Džibutis,
Malis,
Estija,
Kuveitas,
Lietuva,
Kataras,
Šiaurės Makedonija,
Gvinėja,
Burkina Fasas,
Gajana,
Kosovas,
Jemenas,
Gernsis,
Palestina,
Guamas,
Islandija,
Kaimanų Salos,
Gvadelupa,
Beninas,
Kongas-Brazavilis,
Latvija,
Mozambikas,
Angola,
Slovėnija,
Albanija,
Kongas-Kinšasa,
Meno Sala,
Norvegija,
Mauritanija,
Bahamos,
Belizas,
Haitis,
Libija,
Sirija,
Slovakija,
Džersis,
Panama,
Gabonas,
Puerto Rikas,
Vengrija,
Serbija,
Bulgarija,
Salvadoras,
Armėnija,
Turkmėnistanas,
Hondūras,
Gruzija,
Reunjonas,
Bosnija ir Hercegovina,
Kroatija,
Juodkalnija,
Bolivija,
Dominikos Respublika,
Gvatemala,
Uzbekistanas,
Čilė,
Urugvajus,
Tadžikija,
Azerbaidžanas,
Kirgizija,
Venesuela,
Kosta Rika,
Baltarusija,
Moldova,
Nikaragva,
Ekvadoras,
Paragvajus,
Aruba,
Alandų Salos,
Andora,
Amerikos Samoa,
Antarktida,
Prancūzijos Pietų sritys,
Karibų Nyderlandai,
Sen Bartelemi,
Buvė Sala,
Centrinės Afrikos Respublika,
Kokosų (Kilingo) Salos,
Kuko Salos,
Komorai,
Žaliasis Kyšulys,
Kiurasao,
Kalėdų Sala,
Eritrėja,
Vakarų Sachara,
Folklando (Malvinų) Salos,
Farerų Salos,
Mikronezija,
Bisau Gvinėja,
Pusiaujo Gvinėja,
Grenlandija,
Prancūzijos Gviana,
Herdo ir Makdonaldo Salos,
Indijos Vandenyno Britų Sritis,
Kiribatis,
Sen Martenas,
Monakas,
Maršalo Salos,
Marianos Šiaurinės Salos,
Montseratas,
Martinika,
Majotas,
Nigeris,
Norfolko sala,
Niujė,
Nauru,
Pitkerno salos,
Palau,
Šiaurės Korėja,
Prancūzijos Polinezija,
Pietų Džordžija ir Pietų Sandvičo salos,
Svalbardas ir Janas Majenas,
Saliamono Salos,
San Marinas,
Sen Pjeras ir Mikelonas,
San Tomė ir Prinsipė,
Surinamas,
Sint Martenas,
Terkso ir Kaikoso Salos,
Čadas,
Tokelau,
Tonga,
Tuvalu,
Jungtinių Valstijų Mažosios Tolimosios Salos,
Vatikano Miesto Valstybė,
Didžiosios Britanijos Mergelių Salos,
Volisas ir Futūna,
