Kategorija: Visos kategorijos

Šalis,"""knowledge management software"": (2020-12-22–2021-12-22)"
Vietnamas,100
Jungtinės Valstijos,79
Jungtinė Karalystė,49
Indija,26
Vokietija,14
Brazilija,10
Etiopija,
Singapūras,
Kenija,
Šveicarija,
Ekvadoras,
Austrija,
Australija,
Filipinai,
Belgija,
Pietų Afrika,
Malaizija,
Ukraina,
Argentina,
Iranas,
Ispanija,
Kanada,
Meksika,
Aruba,
Afganistanas,
Angola,
Angilija,
Alandų Salos,
Albanija,
Andora,
Jungtiniai Arabų Emyratai,
Armėnija,
Amerikos Samoa,
Antarktida,
Prancūzijos Pietų sritys,
Antigva ir Barbuda,
Azerbaidžanas,
Burundis,
Beninas,
Karibų Nyderlandai,
Burkina Fasas,
Bangladešas,
Bulgarija,
Bahreinas,
Bahamos,
Bosnija ir Hercegovina,
Sen Bartelemi,
Baltarusija,
Belizas,
Bermuda,
Bolivija,
Barbadosas,
Brunėjus,
Butanas,
Buvė Sala,
Botsvana,
Centrinės Afrikos Respublika,
Kokosų (Kilingo) Salos,
Čilė,
Kinija,
Dramblio Kaulo Krantas,
Kamerūnas,
Kongas-Kinšasa,
Kongas-Brazavilis,
Kuko Salos,
Kolumbija,
Komorai,
Žaliasis Kyšulys,
Kosta Rika,
Kuba,
Kiurasao,
Kalėdų Sala,
Kaimanų Salos,
Kipras,
Čekija,
Džibutis,
Dominika,
Danija,
Dominikos Respublika,
Alžyras,
Egiptas,
Eritrėja,
Vakarų Sachara,
Estija,
Suomija,
Fidžis,
Folklando (Malvinų) Salos,
Prancūzija,
Farerų Salos,
Mikronezija,
Gabonas,
Gruzija,
Gernsis,
Gana,
Gibraltaras,
Gvinėja,
Gvadelupa,
Gambija,
Bisau Gvinėja,
Pusiaujo Gvinėja,
Graikija,
Grenada,
Grenlandija,
Gvatemala,
Prancūzijos Gviana,
Guamas,
Gajana,
Honkongas,
Herdo ir Makdonaldo Salos,
Hondūras,
Kroatija,
Haitis,
Vengrija,
Indonezija,
Meno Sala,
Indijos Vandenyno Britų Sritis,
Airija,
Irakas,
Islandija,
Izraelis,
Italija,
Jamaika,
Džersis,
Jordanija,
Japonija,
Kazachstanas,
Kirgizija,
Kambodža,
Kiribatis,
Sent Kitsas ir Nevis,
Pietų Korėja,
Kuveitas,
Laosas,
Libanas,
Liberija,
Libija,
Sent Lusija,
Lichtenšteinas,
Šri Lanka,
Lesotas,
Lietuva,
Liuksemburgas,
Latvija,
Makao,
Sen Martenas,
Marokas,
Monakas,
Moldova,
Madagaskaras,
Maldyvai,
Maršalo Salos,
Šiaurės Makedonija,
Malis,
Malta,
Mianmaras (Birma),
Juodkalnija,
Mongolija,
Marianos Šiaurinės Salos,
Mozambikas,
Mauritanija,
Montseratas,
Martinika,
Mauricijus,
Malavis,
Majotas,
Namibija,
Naujoji Kaledonija,
Nigeris,
Norfolko sala,
Nigerija,
Nikaragva,
Niujė,
Nyderlandai,
Norvegija,
Nepalas,
Nauru,
Naujoji Zelandija,
Omanas,
Pakistanas,
Panama,
Pitkerno salos,
Peru,
Palau,
Papua Naujoji Gvinėja,
Lenkija,
Puerto Rikas,
Šiaurės Korėja,
Portugalija,
Paragvajus,
Palestina,
Prancūzijos Polinezija,
Kataras,
Reunjonas,
Rumunija,
Rusija,
Ruanda,
Saudo Arabija,
Sudanas,
Senegalas,
Pietų Džordžija ir Pietų Sandvičo salos,
Šv. Elenos Sala,
Svalbardas ir Janas Majenas,
Saliamono Salos,
Siera Leonė,
Salvadoras,
San Marinas,
Somalis,
Sen Pjeras ir Mikelonas,
Serbija,
Pietų Sudanas,
San Tomė ir Prinsipė,
Surinamas,
Slovakija,
Slovėnija,
Švedija,
Svazilandas,
Sint Martenas,
Seišeliai,
Sirija,
Terkso ir Kaikoso Salos,
Čadas,
Togas,
Tailandas,
Tadžikija,
Tokelau,
Turkmėnistanas,
Rytų Timoras,
Tonga,
Trinidadas ir Tobagas,
Tunisas,
Turkija,
Tuvalu,
Taivanas,
Tanzanija,
Uganda,
Jungtinių Valstijų Mažosios Tolimosios Salos,
Urugvajus,
Uzbekistanas,
Vatikano Miesto Valstybė,
Šventasis Vincentas ir Grenadinai,
Venesuela,
Didžiosios Britanijos Mergelių Salos,
Jungtinių Valstijų Mergelių Salos,
Vanuatu,
Volisas ir Futūna,
Samoa,
Kosovas,
Jemenas,
Zambija,
Zimbabvė,
