Kategorija: Visos kategorijos

Šalis,"""knowledge management system"": (2020-12-22–2021-12-22)"
Šri Lanka,100
Pietų Afrika,75
Kenija,73
Filipinai,69
Australija,49
Malaizija,49
Indija,37
Pakistanas,35
Indonezija,34
Tailandas,31
Vietnamas,24
Jungtinės Valstijos,23
Jungtinė Karalystė,21
Kanada,17
Kaimanų Salos,
Zimbabvė,
Zambija,
Siera Leonė,
Papua Naujoji Gvinėja,
Malavis,
Etiopija,
Botsvana,
Somalis,
Gana,
Šv. Elenos Sala,
Nepalas,
Libija,
Estija,
Uganda,
Kambodža,
Honkongas,
Libanas,
Singapūras,
Tunisas,
Nigerija,
Bangladešas,
Danija,
Airija,
Jungtiniai Arabų Emyratai,
Irakas,
Serbija,
Baltarusija,
Alžyras,
Saudo Arabija,
Marokas,
Suomija,
Austrija,
Kolumbija,
Peru,
Pietų Korėja,
Rusija,
Taivanas,
Italija,
Nyderlandai,
Ukraina,
Prancūzija,
Turkija,
Argentina,
Iranas,
Lenkija,
Brazilija,
Meksika,
Vokietija,
Aruba,
Afganistanas,
Angola,
Angilija,
Alandų Salos,
Albanija,
Andora,
Armėnija,
Amerikos Samoa,
Antarktida,
Prancūzijos Pietų sritys,
Antigva ir Barbuda,
Azerbaidžanas,
Burundis,
Belgija,
Beninas,
Karibų Nyderlandai,
Burkina Fasas,
Bulgarija,
Bahreinas,
Bahamos,
Bosnija ir Hercegovina,
Sen Bartelemi,
Belizas,
Bermuda,
Bolivija,
Barbadosas,
Brunėjus,
Butanas,
Buvė Sala,
Centrinės Afrikos Respublika,
Kokosų (Kilingo) Salos,
Šveicarija,
Čilė,
Kinija,
Dramblio Kaulo Krantas,
Kamerūnas,
Kongas-Kinšasa,
Kongas-Brazavilis,
Kuko Salos,
Komorai,
Žaliasis Kyšulys,
Kosta Rika,
Kuba,
Kiurasao,
Kalėdų Sala,
Kipras,
Čekija,
Džibutis,
Dominika,
Dominikos Respublika,
Ekvadoras,
Egiptas,
Eritrėja,
Vakarų Sachara,
Ispanija,
Fidžis,
Folklando (Malvinų) Salos,
Farerų Salos,
Mikronezija,
Gabonas,
Gruzija,
Gernsis,
Gibraltaras,
Gvinėja,
Gvadelupa,
Gambija,
Bisau Gvinėja,
Pusiaujo Gvinėja,
Graikija,
Grenada,
Grenlandija,
Gvatemala,
Prancūzijos Gviana,
Guamas,
Gajana,
Herdo ir Makdonaldo Salos,
Hondūras,
Kroatija,
Haitis,
Vengrija,
Meno Sala,
Indijos Vandenyno Britų Sritis,
Islandija,
Izraelis,
Jamaika,
Džersis,
Jordanija,
Japonija,
Kazachstanas,
Kirgizija,
Kiribatis,
Sent Kitsas ir Nevis,
Kuveitas,
Laosas,
Liberija,
Sent Lusija,
Lichtenšteinas,
Lesotas,
Lietuva,
Liuksemburgas,
Latvija,
Makao,
Sen Martenas,
Monakas,
Moldova,
Madagaskaras,
Maldyvai,
Maršalo Salos,
Šiaurės Makedonija,
Malis,
Malta,
Mianmaras (Birma),
Juodkalnija,
Mongolija,
Marianos Šiaurinės Salos,
Mozambikas,
Mauritanija,
Montseratas,
Martinika,
Mauricijus,
Majotas,
Namibija,
Naujoji Kaledonija,
Nigeris,
Norfolko sala,
Nikaragva,
Niujė,
Norvegija,
Nauru,
Naujoji Zelandija,
Omanas,
Panama,
Pitkerno salos,
Palau,
Puerto Rikas,
Šiaurės Korėja,
Portugalija,
Paragvajus,
Palestina,
Prancūzijos Polinezija,
Kataras,
Reunjonas,
Rumunija,
Ruanda,
Sudanas,
Senegalas,
Pietų Džordžija ir Pietų Sandvičo salos,
Svalbardas ir Janas Majenas,
Saliamono Salos,
Salvadoras,
San Marinas,
Sen Pjeras ir Mikelonas,
Pietų Sudanas,
San Tomė ir Prinsipė,
Surinamas,
Slovakija,
Slovėnija,
Švedija,
Svazilandas,
Sint Martenas,
Seišeliai,
Sirija,
Terkso ir Kaikoso Salos,
Čadas,
Togas,
Tadžikija,
Tokelau,
Turkmėnistanas,
Rytų Timoras,
Tonga,
Trinidadas ir Tobagas,
Tuvalu,
Tanzanija,
Jungtinių Valstijų Mažosios Tolimosios Salos,
Urugvajus,
Uzbekistanas,
Vatikano Miesto Valstybė,
Šventasis Vincentas ir Grenadinai,
Venesuela,
Didžiosios Britanijos Mergelių Salos,
Jungtinių Valstijų Mergelių Salos,
Vanuatu,
Volisas ir Futūna,
Samoa,
Kosovas,
Jemenas,
