Kategorija: Visos kategorijos

Šalis,"""knowledge management system"": (2007-01-01–2021-12-22)"
Kenija,100
Šri Lanka,99
Malaizija,67
Australija,45
Pietų Afrika,42
Filipinai,41
Pakistanas,35
Indonezija,32
Indija,30
Tailandas,24
Naujoji Zelandija,16
Jungtinės Valstijos,12
Jungtinė Karalystė,10
Kanada,9
Vietnamas,8
Siera Leonė,
Botsvana,
Etiopija,
Zimbabvė,
Jungtinių Valstijų Mergelių Salos,
Rytų Timoras,
Malavis,
Mauricijus,
Antigva ir Barbuda,
Maldyvai,
Uganda,
Svazilandas,
Liberija,
Zambija,
Brunėjus,
Fidžis,
Laosas,
Trinidadas ir Tobagas,
Ruanda,
Nepalas,
Jamaika,
Belizas,
Bahreinas,
Gana,
Šv. Elenos Sala,
Sudanas,
Beninas,
Kambodža,
Mianmaras (Birma),
Mongolija,
Singapūras,
Bahamos,
Tanzanija,
Honkongas,
Nigerija,
Jungtiniai Arabų Emyratai,
Bangladešas,
Afganistanas,
Makao,
Dramblio Kaulo Krantas,
Estija,
Albanija,
Omanas,
Juodkalnija,
Kosovas,
Pietų Korėja,
Kataras,
Kamerūnas,
Latvija,
Airija,
Saudo Arabija,
Gruzija,
Iranas,
Danija,
Libanas,
Kinija,
Puerto Rikas,
Jordanija,
Lietuva,
Armėnija,
Kuveitas,
Taivanas,
Izraelis,
Tunisas,
Sirija,
Švedija,
Salvadoras,
Dominikos Respublika,
Nyderlandai,
Norvegija,
Bolivija,
Kolumbija,
Graikija,
Čekija,
Šveicarija,
Suomija,
Belgija,
Portugalija,
Urugvajus,
Ukraina,
Serbija,
Bulgarija,
Vokietija,
Kosta Rika,
Vengrija,
Italija,
Egiptas,
Lenkija,
Austrija,
Meksika,
Irakas,
Rumunija,
Rusija,
Venesuela,
Ispanija,
Kazachstanas,
Prancūzija,
Alžyras,
Japonija,
Turkija,
Brazilija,
Argentina,
Aruba,
Angola,
Angilija,
Alandų Salos,
Andora,
Amerikos Samoa,
Antarktida,
Prancūzijos Pietų sritys,
Azerbaidžanas,
Burundis,
Karibų Nyderlandai,
Burkina Fasas,
Bosnija ir Hercegovina,
Sen Bartelemi,
Baltarusija,
Bermuda,
Barbadosas,
Butanas,
Buvė Sala,
Centrinės Afrikos Respublika,
Kokosų (Kilingo) Salos,
Čilė,
Kongas-Kinšasa,
Kongas-Brazavilis,
Kuko Salos,
Komorai,
Žaliasis Kyšulys,
Kuba,
Kiurasao,
Kalėdų Sala,
Kaimanų Salos,
Kipras,
Džibutis,
Dominika,
Ekvadoras,
Eritrėja,
Vakarų Sachara,
Folklando (Malvinų) Salos,
Farerų Salos,
Mikronezija,
Gabonas,
Gernsis,
Gibraltaras,
Gvinėja,
Gvadelupa,
Gambija,
Bisau Gvinėja,
Pusiaujo Gvinėja,
Grenada,
Grenlandija,
Gvatemala,
Prancūzijos Gviana,
Guamas,
Gajana,
Herdo ir Makdonaldo Salos,
Hondūras,
Kroatija,
Haitis,
Meno Sala,
Indijos Vandenyno Britų Sritis,
Islandija,
Džersis,
Kirgizija,
Kiribatis,
Sent Kitsas ir Nevis,
Libija,
Sent Lusija,
Lichtenšteinas,
Lesotas,
Liuksemburgas,
Sen Martenas,
Marokas,
Monakas,
Moldova,
Madagaskaras,
Maršalo Salos,
Šiaurės Makedonija,
Malis,
Malta,
Marianos Šiaurinės Salos,
Mozambikas,
Mauritanija,
Montseratas,
Martinika,
Majotas,
Namibija,
Naujoji Kaledonija,
Nigeris,
Norfolko sala,
Nikaragva,
Niujė,
Nauru,
Panama,
Pitkerno salos,
Peru,
Palau,
Papua Naujoji Gvinėja,
Šiaurės Korėja,
Paragvajus,
Palestina,
Prancūzijos Polinezija,
Reunjonas,
Senegalas,
Pietų Džordžija ir Pietų Sandvičo salos,
Svalbardas ir Janas Majenas,
Saliamono Salos,
San Marinas,
Somalis,
Sen Pjeras ir Mikelonas,
Pietų Sudanas,
San Tomė ir Prinsipė,
Surinamas,
Slovakija,
Slovėnija,
Sint Martenas,
Seišeliai,
Terkso ir Kaikoso Salos,
Čadas,
Togas,
Tadžikija,
Tokelau,
Turkmėnistanas,
Tonga,
Tuvalu,
Jungtinių Valstijų Mažosios Tolimosios Salos,
Uzbekistanas,
Vatikano Miesto Valstybė,
Šventasis Vincentas ir Grenadinai,
Didžiosios Britanijos Mergelių Salos,
Vanuatu,
Volisas ir Futūna,
Samoa,
Jemenas,
