Kategorija: Visos kategorijos

Šalis,"""knowledge management software"": (2007-01-01–2021-12-22)"
Šv. Elenos Sala,100
Vietnamas,59
Jungtinės Valstijos,41
Indija,31
Jungtinė Karalystė,27
Vokietija,27
Brazilija,7
Etiopija,
Brunėjus,
Liuksemburgas,
Jamaika,
Laosas,
Kosovas,
Sudanas,
Kipras,
Kenija,
Gana,
Palestina,
Nikaragva,
Šveicarija,
Naujoji Zelandija,
Nepalas,
Kinija,
Sirija,
Honkongas,
Singapūras,
Australija,
Latvija,
Jungtiniai Arabų Emyratai,
Bosnija ir Hercegovina,
Malaizija,
Izraelis,
Kuveitas,
Vengrija,
Norvegija,
Kroatija,
Slovėnija,
Urugvajus,
Bangladešas,
Tailandas,
Austrija,
Kosta Rika,
Iranas,
Nigerija,
Kanada,
Indonezija,
Bolivija,
Belgija,
Pietų Afrika,
Suomija,
Egiptas,
Slovakija,
Nyderlandai,
Švedija,
Pietų Korėja,
Bulgarija,
Ukraina,
Pakistanas,
Filipinai,
Ekvadoras,
Alžyras,
Marokas,
Čilė,
Kolumbija,
Taivanas,
Airija,
Rusija,
Prancūzija,
Italija,
Graikija,
Portugalija,
Rumunija,
Peru,
Ispanija,
Lenkija,
Saudo Arabija,
Meksika,
Argentina,
Japonija,
Turkija,
Aruba,
Afganistanas,
Angola,
Angilija,
Alandų Salos,
Albanija,
Andora,
Armėnija,
Amerikos Samoa,
Antarktida,
Prancūzijos Pietų sritys,
Antigva ir Barbuda,
Azerbaidžanas,
Burundis,
Beninas,
Karibų Nyderlandai,
Burkina Fasas,
Bahreinas,
Bahamos,
Sen Bartelemi,
Baltarusija,
Belizas,
Bermuda,
Barbadosas,
Butanas,
Buvė Sala,
Botsvana,
Centrinės Afrikos Respublika,
Kokosų (Kilingo) Salos,
Dramblio Kaulo Krantas,
Kamerūnas,
Kongas-Kinšasa,
Kongas-Brazavilis,
Kuko Salos,
Komorai,
Žaliasis Kyšulys,
Kuba,
Kiurasao,
Kalėdų Sala,
Kaimanų Salos,
Čekija,
Džibutis,
Dominika,
Danija,
Dominikos Respublika,
Eritrėja,
Vakarų Sachara,
Estija,
Fidžis,
Folklando (Malvinų) Salos,
Farerų Salos,
Mikronezija,
Gabonas,
Gruzija,
Gernsis,
Gibraltaras,
Gvinėja,
Gvadelupa,
Gambija,
Bisau Gvinėja,
Pusiaujo Gvinėja,
Grenada,
Grenlandija,
Gvatemala,
Prancūzijos Gviana,
Guamas,
Gajana,
Herdo ir Makdonaldo Salos,
Hondūras,
Haitis,
Meno Sala,
Indijos Vandenyno Britų Sritis,
Irakas,
Islandija,
Džersis,
Jordanija,
Kazachstanas,
Kirgizija,
Kambodža,
Kiribatis,
Sent Kitsas ir Nevis,
Libanas,
Liberija,
Libija,
Sent Lusija,
Lichtenšteinas,
Šri Lanka,
Lesotas,
Lietuva,
Makao,
Sen Martenas,
Monakas,
Moldova,
Madagaskaras,
Maldyvai,
Maršalo Salos,
Šiaurės Makedonija,
Malis,
Malta,
Mianmaras (Birma),
Juodkalnija,
Mongolija,
Marianos Šiaurinės Salos,
Mozambikas,
Mauritanija,
Montseratas,
Martinika,
Mauricijus,
Malavis,
Majotas,
Namibija,
Naujoji Kaledonija,
Nigeris,
Norfolko sala,
Niujė,
Nauru,
Omanas,
Panama,
Pitkerno salos,
Palau,
Papua Naujoji Gvinėja,
Puerto Rikas,
Šiaurės Korėja,
Paragvajus,
Prancūzijos Polinezija,
Kataras,
Reunjonas,
Ruanda,
Senegalas,
Pietų Džordžija ir Pietų Sandvičo salos,
Svalbardas ir Janas Majenas,
Saliamono Salos,
Siera Leonė,
Salvadoras,
San Marinas,
Somalis,
Sen Pjeras ir Mikelonas,
Serbija,
Pietų Sudanas,
San Tomė ir Prinsipė,
Surinamas,
Svazilandas,
Sint Martenas,
Seišeliai,
Terkso ir Kaikoso Salos,
Čadas,
Togas,
Tadžikija,
Tokelau,
Turkmėnistanas,
Rytų Timoras,
Tonga,
Trinidadas ir Tobagas,
Tunisas,
Tuvalu,
Tanzanija,
Uganda,
Jungtinių Valstijų Mažosios Tolimosios Salos,
Uzbekistanas,
Vatikano Miesto Valstybė,
Šventasis Vincentas ir Grenadinai,
Venesuela,
Didžiosios Britanijos Mergelių Salos,
Jungtinių Valstijų Mergelių Salos,
Vanuatu,
Volisas ir Futūna,
Samoa,
Jemenas,
Zambija,
Zimbabvė,
