Kategorija: Visos kategorijos

Šalis,"""knowledge management"": (2007-01-01–2021-12-22)","""knowledge management system"": (2007-01-01–2021-12-22)","""knowledge management software"": (2007-01-01–2021-12-22)"
Botsvana,100 %,,
Etiopija,100 %,,
Kenija,93 %,7 %,
Zimbabvė,100 %,,
Namibija,100 %,,
Mauricijus,100 %,,
Uganda,100 %,,
Pietų Afrika,96 %,4 %,
Zambija,100 %,,
Nepalas,100 %,,
Gana,100 %,,
Siera Leonė,,,
Tanzanija,100 %,,
Malaizija,91 %,9 %,
Šri Lanka,90 %,10 %,
Singapūras,100 %,,
Honkongas,100 %,,
Nigerija,100 %,,
Šv. Elenos Sala,98 %,,2 %
Laosas,,,
Omanas,100 %,,
Mianmaras (Birma),,,
Pakistanas,90 %,10 %,
Jordanija,100 %,,
Filipinai,88 %,12 %,
Jungtiniai Arabų Emyratai,100 %,,
Australija,88 %,12 %,
Indija,90 %,9 %,1 %
Libanas,100 %,,
Tailandas,96 %,4 %,
Indonezija,88 %,12 %,
Naujoji Zelandija,93 %,7 %,
Iranas,100 %,,
Airija,100 %,,
Bangladešas,100 %,,
Suomija,100 %,,
Kambodža,,,
Marokas,100 %,,
Jungtinė Karalystė,93 %,5 %,2 %
Šveicarija,100 %,,
Kinija,100 %,,
Saudo Arabija,100 %,,
Kanada,94 %,6 %,
Švedija,100 %,,
Jungtinės Valstijos,89 %,8 %,3 %
Austrija,100 %,,
Danija,100 %,,
Nyderlandai,100 %,,
Pietų Korėja,100 %,,
Belgija,100 %,,
Taivanas,100 %,,
Alžyras,100 %,,
Portugalija,100 %,,
Čekija,100 %,,
Prancūzija,100 %,,
Egiptas,100 %,,
Vokietija,97 %,,3 %
Izraelis,100 %,,
Irakas,100 %,,
Vietnamas,82 %,11 %,7 %
Graikija,100 %,,
Rumunija,100 %,,
Italija,100 %,,
Kolumbija,100 %,,
Meksika,100 %,,
Peru,100 %,,
Ispanija,100 %,,
Lenkija,100 %,,
Kazachstanas,,,
Rusija,100 %,,
Brazilija,97 %,,3 %
Turkija,100 %,,
Ukraina,100 %,,
Argentina,100 %,,
Japonija,100 %,,
Lesotas,,,
Eritrėja,,,
Svazilandas,,,
Ruanda,,,
San Tomė ir Prinsipė,,,
Pietų Sudanas,,,
Samoa,,,
Malavis,,,
Maldyvai,,,
Gambija,,,
Fidžis,,,
Šventasis Vincentas ir Grenadinai,,,
Karibų Nyderlandai,,,
Seišeliai,,,
Bisau Gvinėja,,,
Brunėjus,,,
Grenada,,,
Trinidadas ir Tobagas,,,
Antigva ir Barbuda,,,
Didžiosios Britanijos Mergelių Salos,,,
Kamerūnas,,,
Pusiaujo Gvinėja,,,
Barbadosas,,,
Sent Lusija,,,
Bahreinas,,,
Jungtinių Valstijų Mergelių Salos,,,
Jamaika,,,
Liberija,,,
Butanas,,,
Makao,,,
Rytų Timoras,,,
Somalis,,,
Malta,,,
Liuksemburgas,,,
Sudanas,,,
Afganistanas,,,
Mongolija,,,
Beninas,,,
Dominika,,,
Farerų Salos,,,
Gajana,,,
Papua Naujoji Gvinėja,,,
Nigeris,,,
Čadas,,,
Gvadelupa,,,
Tunisas,,,
Kongas-Brazavilis,,,
Palestina,,,
Kipras,,,
Gibraltaras,,,
Lichtenšteinas,,,
Surinamas,,,
Kuveitas,,,
Burundis,,,
Kataras,,,
Togas,,,
Džibutis,,,
Kosovas,,,
Estija,,,
Kuba,,,
Belizas,,,
Šiaurės Makedonija,,,
Lietuva,,,
Mozambikas,,,
Madagaskaras,,,
Senegalas,,,
Dramblio Kaulo Krantas,,,
Žaliasis Kyšulys,,,
Gvinėja,,,
Bermuda,,,
Latvija,,,
Prancūzijos Gviana,,,
Norvegija,,,
Islandija,,,
Jemenas,,,
Sirija,,,
Malis,,,
Meno Sala,,,
Prancūzijos Polinezija,,,
Slovėnija,,,
Libija,,,
Kirgizija,,,
Moldova,,,
Slovakija,,,
Albanija,,,
Kongas-Kinšasa,,,
Džersis,,,
Serbija,,,
Naujoji Kaledonija,,,
Gabonas,,,
Angola,,,
Puerto Rikas,,,
Kroatija,,,
Kosta Rika,,,
Bulgarija,,,
Urugvajus,,,
Turkmėnistanas,,,
Gruzija,,,
Bosnija ir Hercegovina,,,
Panama,,,
Burkina Fasas,,,
Vengrija,,,
Bahamos,,,
Haitis,,,
Tadžikija,,,
Salvadoras,,,
Ekvadoras,,,
Reunjonas,,,
Bolivija,,,
Čilė,,,
Azerbaidžanas,,,
Dominikos Respublika,,,
Hondūras,,,
Baltarusija,,,
Venesuela,,,
Paragvajus,,,
Uzbekistanas,,,
Nikaragva,,,
Gvatemala,,,
Armėnija,,,
Aruba,,,
Angilija,,,
Alandų Salos,,,
Andora,,,
Amerikos Samoa,,,
Antarktida,,,
Prancūzijos Pietų sritys,,,
Sen Bartelemi,,,
Buvė Sala,,,
Centrinės Afrikos Respublika,,,
Kokosų (Kilingo) Salos,,,
Kuko Salos,,,
Komorai,,,
Kiurasao,,,
Kalėdų Sala,,,
Kaimanų Salos,,,
Vakarų Sachara,,,
Folklando (Malvinų) Salos,,,
Mikronezija,,,
Gernsis,,,
Grenlandija,,,
Guamas,,,
Herdo ir Makdonaldo Salos,,,
Indijos Vandenyno Britų Sritis,,,
Kiribatis,,,
