Kategorija: Visos kategorijos

Šalis,"""knowledge management"": (2007-01-01–2021-12-22)","""knowledge management system"": (2007-01-01–2021-12-22)","""knowledge management software"": (2007-01-01–2021-12-22)"
Botsvana,100 %,,
Etiopija,100 %,,
Zimbabvė,100 %,,
Kenija,94 %,6 %,
Mauricijus,100 %,,
Namibija,,,
Siera Leonė,,,
Zambija,100 %,,
Pietų Afrika,96 %,4 %,
Uganda,100 %,,
Gana,100 %,,
Nepalas,100 %,,
Šri Lanka,87 %,13 %,
Malaizija,90 %,10 %,
Singapūras,100 %,,
Tanzanija,100 %,,
Omanas,100 %,,
Honkongas,100 %,,
Nigerija,100 %,,
Laosas,,,
Šv. Elenos Sala,,,
Pakistanas,91 %,9 %,
Mianmaras (Birma),,,
Jungtiniai Arabų Emyratai,100 %,,
Indija,90 %,9 %,1 %
Filipinai,88 %,12 %,
Australija,87 %,13 %,
Jordanija,100 %,,
Tailandas,92 %,8 %,
Libanas,100 %,,
Iranas,100 %,,
Indonezija,89 %,11 %,
Bangladešas,100 %,,
Airija,100 %,,
Kambodža,,,
Naujoji Zelandija,93 %,7 %,
Marokas,100 %,,
Jungtinė Karalystė,93 %,6 %,1 %
Suomija,100 %,,
Šveicarija,100 %,,
Kinija,100 %,,
Danija,100 %,,
Švedija,100 %,,
Jungtinės Valstijos,89 %,8 %,3 %
Austrija,100 %,,
Saudo Arabija,100 %,,
Kanada,93 %,7 %,
Pietų Korėja,100 %,,
Nyderlandai,100 %,,
Portugalija,100 %,,
Belgija,100 %,,
Egiptas,100 %,,
Alžyras,100 %,,
Čekija,100 %,,
Prancūzija,100 %,,
Taivanas,100 %,,
Vokietija,97 %,,3 %
Izraelis,100 %,,
Vietnamas,83 %,9 %,8 %
Graikija,100 %,,
Italija,100 %,,
Rumunija,100 %,,
Kolumbija,100 %,,
Peru,100 %,,
Irakas,,,
Ispanija,100 %,,
Meksika,100 %,,
Lenkija,100 %,,
Kazachstanas,,,
Brazilija,97 %,,3 %
Rusija,100 %,,
Argentina,100 %,,
Ukraina,100 %,,
Turkija,100 %,,
Japonija,100 %,,
Lesotas,,,
Angilija,,,
Svazilandas,,,
Malavis,,,
Ruanda,,,
Vanuatu,,,
Maldyvai,,,
Brunėjus,,,
Dominika,,,
Gambija,,,
Fidžis,,,
Antigva ir Barbuda,,,
Barbadosas,,,
Samoa,,,
Trinidadas ir Tobagas,,,
Sent Lusija,,,
Bahreinas,,,
Mongolija,,,
Sudanas,,,
Liberija,,,
Bermuda,,,
Lichtenšteinas,,,
Makao,,,
Rytų Timoras,,,
Somalis,,,
Sent Kitsas ir Nevis,,,
Seišeliai,,,
Afganistanas,,,
Jamaika,,,
Pietų Sudanas,,,
Naujoji Kaledonija,,,
Malta,,,
Liuksemburgas,,,
Senegalas,,,
Butanas,,,
Kuba,,,
Papua Naujoji Gvinėja,,,
Jungtinių Valstijų Mergelių Salos,,,
Tunisas,,,
Kamerūnas,,,
Grenada,,,
Gibraltaras,,,
Kipras,,,
Šventasis Vincentas ir Grenadinai,,,
Dramblio Kaulo Krantas,,,
Madagaskaras,,,
Burundis,,,
Togas,,,
Džibutis,,,
Malis,,,
Estija,,,
Kuveitas,,,
Lietuva,,,
Kataras,,,
Šiaurės Makedonija,,,
Gvinėja,,,
Burkina Fasas,,,
Gajana,,,
Kosovas,,,
Jemenas,,,
Gernsis,,,
Palestina,,,
Guamas,,,
Islandija,,,
Kaimanų Salos,,,
Gvadelupa,,,
Beninas,,,
Kongas-Brazavilis,,,
Latvija,,,
Mozambikas,,,
Angola,,,
Slovėnija,,,
Albanija,,,
Kongas-Kinšasa,,,
Meno Sala,,,
Norvegija,,,
Mauritanija,,,
Bahamos,,,
Belizas,,,
Haitis,,,
Libija,,,
Sirija,,,
Slovakija,,,
Džersis,,,
Panama,,,
Gabonas,,,
Puerto Rikas,,,
Vengrija,,,
Serbija,,,
Bulgarija,,,
Salvadoras,,,
Armėnija,,,
Turkmėnistanas,,,
Hondūras,,,
Gruzija,,,
Reunjonas,,,
Bosnija ir Hercegovina,,,
Kroatija,,,
Juodkalnija,,,
Bolivija,,,
Dominikos Respublika,,,
Gvatemala,,,
Uzbekistanas,,,
Čilė,,,
Urugvajus,,,
Tadžikija,,,
Azerbaidžanas,,,
Kirgizija,,,
Venesuela,,,
Kosta Rika,,,
Baltarusija,,,
Moldova,,,
Nikaragva,,,
Ekvadoras,,,
Paragvajus,,,
Aruba,,,
Alandų Salos,,,
Andora,,,
Amerikos Samoa,,,
Antarktida,,,
Prancūzijos Pietų sritys,,,
Karibų Nyderlandai,,,
Sen Bartelemi,,,
Buvė Sala,,,
Centrinės Afrikos Respublika,,,
Kokosų (Kilingo) Salos,,,
Kuko Salos,,,
Komorai,,,
Žaliasis Kyšulys,,,
Kiurasao,,,
Kalėdų Sala,,,
Eritrėja,,,
Vakarų Sachara,,,
Folklando (Malvinų) Salos,,,
Farerų Salos,,,
Mikronezija,,,
Bisau Gvinėja,,,
Pusiaujo Gvinėja,,,
Grenlandija,,,
Prancūzijos Gviana,,,
Herdo ir Makdonaldo Salos,,,
Indijos Vandenyno Britų Sritis,,,
Kiribatis,,,
Sen Martenas,,,
Monakas,,,
Maršalo Salos,,,
