Kategorija: Visos kategorijos

Savaitė,"""knowledge management"": (Pasaulyje)","""knowledge management system"": (Pasaulyje)","""knowledge management software"": (Pasaulyje)"
2020-12-27,42,5,4
2021-01-03,73,7,0
2021-01-10,64,12,0
2021-01-17,78,3,2
2021-01-24,86,8,3
2021-01-31,78,5,5
2021-02-07,97,7,0
2021-02-14,87,9,5
2021-02-21,73,7,0
2021-02-28,78,10,2
2021-03-07,68,5,0
2021-03-14,81,14,2
2021-03-21,84,10,3
2021-03-28,77,4,2
2021-04-04,89,9,0
2021-04-11,89,9,0
2021-04-18,84,12,0
2021-04-25,85,8,0
2021-05-02,79,15,2
2021-05-09,83,5,2
2021-05-16,84,9,7
2021-05-23,98,14,0
2021-05-30,72,7,2
2021-06-06,91,12,5
2021-06-13,69,7,2
2021-06-20,67,16,0
2021-06-27,84,3,2
2021-07-04,80,7,0
2021-07-11,77,7,0
2021-07-18,88,7,4
2021-07-25,75,14,2
2021-08-01,100,16,5
2021-08-08,68,7,0
2021-08-15,75,5,2
2021-08-22,91,8,4
2021-08-29,96,17,0
2021-09-05,93,6,0
2021-09-12,95,11,7
2021-09-19,93,17,0
2021-09-26,84,15,4
2021-10-03,76,10,3
2021-10-10,74,6,5
2021-10-17,63,9,0
2021-10-24,70,5,4
2021-10-31,61,4,1
2021-11-07,57,6,0
2021-11-14,69,7,0
2021-11-21,69,10,1
2021-11-28,68,7,1
2021-12-05,77,9,3
2021-12-12,70,13,0
2021-12-19,51,10,0
