Kategorija: Visos kategorijos

Mėnuo,"""knowledge management"": (Pasaulyje)","""knowledge management system"": (Pasaulyje)","""knowledge management software"": (Pasaulyje)"
2007-01,81,2,1
2007-02,66,1,1
2007-03,83,2,2
2007-04,71,2,1
2007-05,100,4,2
2007-06,84,3,1
2007-07,66,4,3
2007-08,68,2,1
2007-09,67,2,1
2007-10,68,3,1
2007-11,86,3,1
2007-12,55,3,1
2008-01,69,5,1
2008-02,62,6,1
2008-03,64,5,1
2008-04,79,4,1
2008-05,57,4,2
2008-06,54,2,1
2008-07,64,2,0
2008-08,59,2,0
2008-09,62,5,2
2008-10,60,4,2
2008-11,61,4,2
2008-12,63,4,3
2009-01,55,1,1
2009-02,65,2,2
2009-03,62,6,1
2009-04,61,4,1
2009-05,56,3,< 1
2009-06,56,4,1
2009-07,51,5,2
2009-08,46,5,2
2009-09,54,3,2
2009-10,61,4,1
2009-11,56,4,1
2009-12,42,3,1
2010-01,45,4,1
2010-02,57,2,1
2010-03,65,6,1
2010-04,60,5,1
2010-05,51,2,1
2010-06,47,4,2
2010-07,41,4,1
2010-08,49,2,1
2010-09,42,2,< 1
2010-10,50,4,1
2010-11,44,4,1
2010-12,43,4,1
2011-01,43,3,1
2011-02,43,4,1
2011-03,49,4,1
2011-04,47,4,1
2011-05,46,3,1
2011-06,44,2,< 1
2011-07,40,3,1
2011-08,40,3,< 1
2011-09,44,3,1
2011-10,42,3,1
2011-11,44,3,1
2011-12,34,3,1
2012-01,35,2,1
2012-02,40,2,< 1
2012-03,42,2,< 1
2012-04,46,3,1
2012-05,42,4,1
2012-06,41,3,1
2012-07,37,3,1
2012-08,33,2,1
2012-09,37,2,1
2012-10,40,4,1
2012-11,33,3,< 1
2012-12,26,1,< 1
2013-01,29,2,1
2013-02,36,3,< 1
2013-03,35,3,< 1
2013-04,40,3,1
2013-05,34,2,< 1
2013-06,31,3,1
2013-07,30,2,< 1
2013-08,30,3,< 1
2013-09,34,3,1
2013-10,31,3,< 1
2013-11,32,4,1
2013-12,27,2,< 1
2014-01,26,2,1
2014-02,33,3,1
2014-03,31,3,1
2014-04,36,3,< 1
2014-05,30,3,< 1
2014-06,25,2,1
2014-07,24,3,1
2014-08,25,2,1
2014-09,29,2,1
2014-10,32,3,1
2014-11,35,3,1
2014-12,24,2,< 1
2015-01,23,2,< 1
2015-02,27,2,< 1
2015-03,31,2,< 1
2015-04,31,3,1
2015-05,32,3,< 1
2015-06,27,2,< 1
2015-07,25,2,< 1
2015-08,23,2,< 1
2015-09,28,3,1
2015-10,28,4,0
2015-11,29,3,< 1
2015-12,19,1,< 1
2016-01,26,2,1
2016-02,32,4,< 1
2016-03,31,3,< 1
2016-04,30,2,< 1
2016-05,28,2,1
2016-06,25,3,< 1
2016-07,21,2,< 1
2016-08,22,2,< 1
2016-09,21,2,1
2016-10,27,2,< 1
2016-11,23,1,< 1
2016-12,23,2,< 1
2017-01,21,2,< 1
2017-02,24,2,1
2017-03,28,2,1
2017-04,26,2,< 1
2017-05,23,3,< 1
2017-06,20,2,1
2017-07,18,2,< 1
2017-08,20,1,< 1
2017-09,23,2,1
2017-10,25,2,1
2017-11,27,4,< 1
2017-12,20,1,< 1
2018-01,21,2,< 1
2018-02,24,2,< 1
2018-03,22,2,< 1
2018-04,25,3,< 1
2018-05,26,2,1
2018-06,19,2,< 1
2018-07,19,2,1
2018-08,19,2,< 1
2018-09,22,2,1
2018-10,23,2,1
2018-11,24,2,< 1
2018-12,19,3,1
2019-01,19,1,< 1
2019-02,26,2,1
2019-03,23,2,1
2019-04,25,3,1
2019-05,25,3,1
2019-06,24,3,1
2019-07,19,2,< 1
2019-08,20,3,1
2019-09,23,3,< 1
2019-10,22,2,< 1
2019-11,24,3,< 1
2019-12,20,2,< 1
2020-01,21,3,1
2020-02,21,3,1
2020-03,21,2,< 1
2020-04,25,3,1
2020-05,21,3,< 1
2020-06,22,3,1
2020-07,19,2,1
2020-08,22,3,1
2020-09,23,3,1
2020-10,18,2,1
2020-11,19,2,< 1
2020-12,16,2,1
2021-01,16,2,< 1
2021-02,20,2,< 1
2021-03,19,2,< 1
2021-04,17,2,< 1
2021-05,19,3,1
2021-06,20,3,< 1
2021-07,18,2,1
2021-08,19,2,< 1
2021-09,17,2,1
2021-10,15,1,1
2021-11,15,2,< 1
2021-12,19,3,1
